Date,Attribute,Volume,Diff,Price,Key Comp,Site,Product
1/1/2021,Morning Commute,769,0,2,3001,1001,Regular
1/1/2021,Lunch Rush,624,2,2.02,3001,1001,Regular
1/1/2021,Evening Commute,930,-2,2,3002,1001,Regular
1/1/2021,Overnight,163,-1,2.02,3005,1001,Regular
1/2/2021,Morning Commute,997,-2,2.03,3004,1001,Regular
1/2/2021,Lunch Rush,721,2,2.01,3001,1001,Regular
1/2/2021,Evening Commute,895,2,1.99,3004,1001,Regular
1/2/2021,Overnight,189,-1,1.99,3002,1001,Regular
1/3/2021,Morning Commute,528,3,2,3004,1001,Regular
1/3/2021,Lunch Rush,581,-1,2.02,3001,1001,Regular
1/3/2021,Evening Commute,780,-3,2,3004,1001,Regular
1/3/2021,Overnight,130,-1,2,3002,1001,Regular
1/4/2021,Morning Commute,464,2,1.99,3001,1001,Regular
1/4/2021,Lunch Rush,390,3,1.99,3001,1001,Regular
1/4/2021,Evening Commute,543,1,2.01,3002,1001,Regular
1/4/2021,Overnight,97,1,2,3005,1001,Regular
1/5/2021,Morning Commute,467,0,1.99,3001,1001,Regular
1/5/2021,Lunch Rush,475,-3,2,3001,1001,Regular
1/5/2021,Evening Commute,434,3,2.01,3002,1001,Regular
1/5/2021,Overnight,92,0,2.02,3005,1001,Regular
1/6/2021,Morning Commute,487,1,2.04,3001,1001,Regular
1/6/2021,Lunch Rush,440,1,2.04,3001,1001,Regular
1/6/2021,Evening Commute,651,-3,2.04,3002,1001,Regular
1/6/2021,Overnight,98,1,2.06,3005,1001,Regular
1/7/2021,Morning Commute,614,0,2.08,3001,1001,Regular
1/7/2021,Lunch Rush,502,2,2.06,3001,1001,Regular
1/7/2021,Evening Commute,610,2,2.05,3002,1001,Regular
1/7/2021,Overnight,123,0,2.03,3005,1001,Regular
1/8/2021,Morning Commute,698,2,2.04,3001,1001,Regular
1/8/2021,Lunch Rush,725,-1,2.03,3001,1001,Regular
1/8/2021,Evening Commute,851,0,2.03,3002,1001,Regular
1/8/2021,Overnight,161,-1,2.04,3005,1001,Regular
1/9/2021,Morning Commute,984,-2,2.06,3004,1001,Regular
1/9/2021,Lunch Rush,853,-1,2.05,3001,1001,Regular
1/9/2021,Evening Commute,1132,-3,2.05,3004,1001,Regular
1/9/2021,Overnight,171,1,2.06,3002,1001,Regular
1/10/2021,Morning Commute,550,2,2.08,3004,1001,Regular
1/10/2021,Lunch Rush,554,0,2.07,3001,1001,Regular
1/10/2021,Evening Commute,745,-2,2.07,3004,1001,Regular
1/10/2021,Overnight,130,-1,2.08,3002,1001,Regular
1/11/2021,Morning Commute,489,1,2.07,3001,1001,Regular
1/11/2021,Lunch Rush,437,1,2.09,3001,1001,Regular
1/11/2021,Evening Commute,476,3,2.07,3002,1001,Regular
1/11/2021,Overnight,109,-1,2.05,3005,1001,Regular
1/12/2021,Morning Commute,395,3,2.05,3001,1001,Regular
1/12/2021,Lunch Rush,455,-2,2.04,3001,1001,Regular
1/12/2021,Evening Commute,488,1,2.03,3002,1001,Regular
1/12/2021,Overnight,88,1,2.02,3005,1001,Regular
1/13/2021,Morning Commute,491,1,2.03,3001,1001,Regular
1/13/2021,Lunch Rush,418,2,2.01,3001,1001,Regular
1/13/2021,Evening Commute,648,-3,2.03,3002,1001,Regular
1/13/2021,Overnight,97,1,2.03,3005,1001,Regular
1/14/2021,Morning Commute,618,0,2.03,3001,1001,Regular
1/14/2021,Lunch Rush,496,2,2.05,3001,1001,Regular
1/14/2021,Evening Commute,616,2,2.07,3002,1001,Regular
1/14/2021,Overnight,118,1,2.06,3005,1001,Regular
1/15/2021,Morning Commute,879,-3,2.07,3001,1001,Regular
1/15/2021,Lunch Rush,698,0,2.09,3001,1001,Regular
1/15/2021,Evening Commute,927,-2,2.08,3002,1001,Regular
1/15/2021,Overnight,146,1,2.08,3005,1001,Regular
1/16/2021,Morning Commute,982,-2,2.09,3004,1001,Regular
1/16/2021,Lunch Rush,928,-3,2.08,3001,1001,Regular
1/16/2021,Evening Commute,998,0,2.1,3004,1001,Regular
1/16/2021,Overnight,169,1,2.12,3002,1001,Regular
1/17/2021,Morning Commute,618,0,2.13,3004,1001,Regular
1/17/2021,Lunch Rush,505,2,2.13,3001,1001,Regular
1/17/2021,Evening Commute,744,-2,2.14,3004,1001,Regular
1/17/2021,Overnight,124,0,2.13,3002,1001,Regular
1/18/2021,Morning Commute,466,2,2.13,3001,1001,Regular
1/18/2021,Lunch Rush,512,-2,2.13,3001,1001,Regular
1/18/2021,Evening Commute,566,0,2.11,3002,1001,Regular
1/18/2021,Overnight,98,1,2.11,3005,1001,Regular
1/19/2021,Morning Commute,442,1,2.13,3001,1001,Regular
1/19/2021,Lunch Rush,376,2,2.12,3001,1001,Regular
1/19/2021,Evening Commute,456,2,2.14,3002,1001,Regular
1/19/2021,Overnight,92,0,2.12,3005,1001,Regular
1/20/2021,Morning Commute,543,-1,2.11,3001,1001,Regular
1/20/2021,Lunch Rush,441,1,2.1,3001,1001,Regular
1/20/2021,Evening Commute,594,-1,2.11,3002,1001,Regular
1/20/2021,Overnight,97,1,2.09,3005,1001,Regular
1/21/2021,Morning Commute,710,-3,2.09,3001,1001,Regular
1/21/2021,Lunch Rush,477,3,2.11,3001,1001,Regular
1/21/2021,Evening Commute,610,2,2.09,3002,1001,Regular
1/21/2021,Overnight,117,1,2.11,3005,1001,Regular
1/22/2021,Morning Commute,650,3,2.09,3001,1001,Regular
1/22/2021,Lunch Rush,791,-3,2.11,3001,1001,Regular
1/22/2021,Evening Commute,973,-3,2.11,3002,1001,Regular
1/22/2021,Overnight,162,-1,2.12,3005,1001,Regular
1/23/2021,Morning Commute,983,-2,2.12,3004,1001,Regular
1/23/2021,Lunch Rush,924,-3,2.13,3001,1001,Regular
1/23/2021,Evening Commute,1144,-3,2.14,3004,1001,Regular
